"tick","Marist_KEVs","CVSS_KEVs","EPSS_KEVs","FIFO_KEVs","LIFO_KEVs","Random_KEVs"
0.0,70.0,70.0,70.0,70.0,70.0,70.0
1.0,70.0,70.0,69.0,70.0,70.0,70.0
2.0,70.0,70.0,69.0,70.0,70.0,70.0
3.0,70.0,70.0,68.0,70.0,70.0,69.0
4.0,70.0,70.0,67.0,70.0,70.0,69.0
5.0,70.0,69.0,66.0,70.0,70.0,69.0
6.0,70.0,69.0,66.0,70.0,70.0,69.0
7.0,70.0,69.0,65.0,70.0,70.0,69.0
8.0,69.0,69.0,64.0,70.0,70.0,69.0
9.0,69.0,69.0,63.0,70.0,70.0,69.0
10.0,69.0,69.0,62.0,70.0,70.0,69.0
11.0,69.0,69.0,61.0,70.0,70.0,69.0
12.0,69.0,69.0,60.0,70.0,70.0,69.0
13.0,69.0,69.0,59.0,69.0,70.0,69.0
14.0,68.0,69.0,59.0,69.0,70.0,68.0
15.0,68.0,69.0,58.0,69.0,70.0,68.0
16.0,67.0,69.0,58.0,69.0,70.0,68.0
17.0,66.0,69.0,57.0,69.0,70.0,68.0
18.0,65.0,69.0,56.0,69.0,70.0,68.0
19.0,64.0,69.0,55.0,69.0,70.0,68.0
20.0,63.0,69.0,55.0,69.0,70.0,68.0
21.0,63.0,69.0,54.0,69.0,70.0,67.0
22.0,63.0,69.0,53.0,69.0,70.0,66.0
23.0,63.0,69.0,52.0,69.0,70.0,66.0
24.0,62.0,68.0,52.0,68.0,70.0,66.0
25.0,62.0,68.0,52.0,68.0,70.0,66.0
26.0,62.0,68.0,52.0,68.0,70.0,66.0
27.0,62.0,68.0,52.0,68.0,70.0,66.0
28.0,62.0,68.0,51.0,68.0,70.0,66.0
29.0,62.0,68.0,50.0,68.0,70.0,66.0
30.0,61.0,68.0,49.0,68.0,70.0,66.0
31.0,61.0,68.0,49.0,68.0,70.0,66.0
32.0,61.0,68.0,48.0,68.0,70.0,66.0
33.0,61.0,68.0,47.0,68.0,70.0,66.0
34.0,61.0,67.0,47.0,68.0,70.0,66.0
35.0,61.0,67.0,46.0,68.0,70.0,66.0
36.0,61.0,66.0,45.0,68.0,70.0,65.0
37.0,61.0,66.0,44.0,68.0,70.0,65.0
38.0,61.0,65.0,44.0,68.0,70.0,65.0
39.0,61.0,65.0,44.0,68.0,70.0,65.0
40.0,61.0,65.0,43.0,68.0,70.0,65.0
41.0,61.0,65.0,43.0,68.0,70.0,64.0
42.0,60.0,65.0,42.0,68.0,70.0,64.0
43.0,60.0,65.0,42.0,68.0,70.0,64.0
44.0,60.0,65.0,42.0,68.0,70.0,64.0
45.0,60.0,64.0,41.0,68.0,70.0,64.0
46.0,60.0,64.0,41.0,68.0,70.0,64.0
47.0,60.0,64.0,40.0,67.0,70.0,64.0
48.0,60.0,64.0,39.0,67.0,70.0,64.0
49.0,60.0,64.0,39.0,67.0,70.0,64.0
50.0,60.0,64.0,39.0,67.0,70.0,64.0
51.0,59.0,64.0,38.0,67.0,70.0,64.0
52.0,58.0,63.0,38.0,67.0,70.0,64.0
53.0,58.0,63.0,38.0,67.0,70.0,64.0
54.0,58.0,63.0,37.0,67.0,70.0,64.0
55.0,58.0,63.0,36.0,67.0,70.0,64.0
56.0,58.0,63.0,35.0,67.0,70.0,64.0
57.0,58.0,63.0,34.0,67.0,70.0,64.0
58.0,58.0,63.0,33.0,67.0,70.0,63.0
